Question,Answer
- 502 - 647 + 759 + 267 + 505 - 560 - 769 + 384 - 928 - 550 - 718 + 551 + 103 + 467 + 845 - 338,-1131
- 607 - 707 + 331 - 159 - 366 - 744 + 205 - 632 + 402 + 634 + 833 + 130 + 846 - 304 - 263 - 351,-752
- 620 + 983 + 471 + 662 + 611 - 884 + 422 - 895 - 610 + 958 - 631 - 267 + 463 - 344 - 483 + 777,613
- 764 + 466 - 947 + 281 - 835 - 742 + 109 + 140 - 771 + 548 + 857 - 693 + 643 + 942 - 821 - 941,-2528
397 - 863 + 776 + 646 + 255 - 837 - 601 - 177 - 220 + 305 + 502 + 176 - 213 + 436 - 718 - 769,-905
- 791 + 539 + 166 - 189 - 602 + 653 + 383 - 951 - 315 + 342 + 968 + 864 - 372 + 935 - 862 + 439,1207
- 945 - 345 - 123 + 935 - 181 + 498 - 872 + 715 - 617 - 490 + 951 - 593 - 679 + 931 + 638 - 653,-830
- 718 + 401 + 847 - 221 + 850 - 852 + 175 - 744 + 750 - 216 - 541 - 967 + 570 + 679 + 316 + 318,647
- 155 - 665 + 127 + 345 - 482 - 909 - 250 - 682 - 521 - 960 + 732 + 635 - 228 + 545 + 373 - 192,-2287
- 449 + 228 - 843 - 437 - 394 - 401 - 484 + 339 + 942 + 929 + 949 + 212 - 403 + 904 - 711 - 362,19
514 + 708 - 802 + 863 + 168 + 396 + 638 - 210 - 441 - 966 - 957 + 837 + 198 + 965 + 831 - 279,2463
987 - 983 + 325 - 517 - 646 + 970 - 249 - 160 + 962 - 836 - 694 + 354 + 649 - 893 + 434 - 524,-821
- 478 - 488 + 453 + 597 - 859 - 527 + 312 - 742 + 599 - 676 - 434 - 611 - 464 + 794 - 345 + 144,-2725
264 + 638 + 622 + 179 + 177 + 291 - 805 + 999 - 367 - 230 - 361 + 264 + 692 + 832 - 156 - 234,2805
- 270 + 978 + 110 + 228 + 517 - 720 + 744 + 937 - 389 + 898 + 405 + 284 + 826 - 936 - 875 + 875,3612
- 303 - 951 - 827 - 389 + 325 + 668 + 100 + 883 - 705 - 145 - 226 + 841 + 766 + 621 + 895 + 783,2336
- 265 - 571 - 599 - 152 + 889 - 294 - 749 - 131 + 786 + 253 - 756 + 541 + 892 + 640 - 229 + 714,969
684 - 747 - 528 - 656 + 787 - 218 - 504 + 939 + 690 - 564 - 180 - 566 + 406 + 738 + 458 + 328,1067
- 299 - 206 + 132 + 632 - 452 - 850 + 116 - 496 - 491 + 195 + 999 + 384 - 768 + 756 - 510 - 955,-1813
- 690 + 955 + 329 - 737 - 115 + 821 - 927 - 859 + 530 - 754 + 687 - 440 + 393 - 801 + 178 - 629,-2059
517 - 455 - 895 - 875 - 533 + 493 - 859 - 701 - 318 - 352 + 931 + 287 - 531 + 857 + 563 - 363,-2234
199 - 199 + 745 + 960 + 236 + 275 - 410 - 690 - 398 + 919 - 358 + 851 - 364 - 351 - 993 - 499,-77
- 387 + 285 - 243 + 399 - 780 - 561 - 608 - 132 - 133 - 773 - 165 - 527 - 534 + 269 - 684 - 792,-5366
861 + 788 - 680 - 615 - 342 + 691 - 785 - 117 - 259 - 319 - 732 - 961 - 415 + 785 + 942 + 356,-802
- 429 - 457 - 591 + 337 + 823 + 718 + 469 + 899 + 505 - 203 + 864 - 392 - 477 - 778 - 755 + 836,1369
- 208 - 317 + 301 - 966 + 851 + 410 - 198 + 970 - 424 - 714 - 920 - 578 + 468 - 123 + 194 - 615,-1869
283 - 387 + 994 + 291 + 727 + 279 + 559 + 322 - 104 + 398 - 639 - 854 + 913 + 930 + 548 + 942,5202
358 + 781 - 457 + 309 - 142 + 231 - 979 - 216 + 413 + 162 + 548 + 498 - 836 + 253 - 986 - 670,-733
960 - 523 + 588 - 702 + 697 + 926 - 915 - 151 - 335 - 156 - 216 + 361 - 750 - 685 - 487 - 210,-1598
703 + 983 - 661 - 557 - 864 + 768 + 707 + 147 - 593 + 133 + 316 - 899 - 556 + 437 + 268 - 473,-141
- 240 + 479 - 860 - 193 + 973 + 521 - 518 + 365 + 685 + 710 + 100 + 359 + 511 + 750 + 142 + 938,4722
- 362 - 884 + 988 + 566 + 648 + 467 - 346 + 749 - 299 + 291 - 993 - 858 + 424 - 210 - 166 + 518,533
- 668 + 385 + 219 - 519 - 878 + 299 + 341 + 976 + 507 + 283 + 890 - 482 - 883 - 125 - 493 - 777,-925
886 + 922 + 600 + 720 - 632 - 841 - 129 - 422 + 226 + 841 - 186 - 884 + 858 + 866 + 443 + 503,3771
- 831 + 709 - 531 + 677 - 233 - 794 + 549 + 762 + 893 + 507 - 993 - 148 - 196 + 288 + 472 + 224,1355
782 - 304 - 470 + 377 + 837 + 851 + 647 - 840 + 697 + 120 + 475 + 942 - 178 - 963 + 234 - 460,2747
- 502 + 776 + 149 - 640 + 647 + 144 + 786 - 435 + 338 + 715 - 358 + 332 - 607 + 499 - 564 - 534,746
- 997 - 342 + 700 + 561 + 282 + 673 - 281 - 750 + 837 - 360 + 832 + 828 + 182 - 603 + 312 + 503,2377
- 795 - 205 - 227 - 364 - 467 - 222 - 361 - 220 + 112 + 789 + 158 - 460 + 329 + 208 + 147 - 876,-2454
802 + 564 + 195 + 403 + 301 + 971 + 996 + 568 + 824 - 845 - 701 + 259 + 947 - 428 + 710 - 665,4901
275 - 918 - 448 + 597 + 380 + 742 - 183 + 246 - 467 - 508 + 723 + 926 - 159 + 774 + 165 - 679,1466
790 - 628 - 574 - 170 - 558 - 193 - 189 + 409 + 631 - 978 + 949 + 351 - 458 + 205 + 689 - 527,-251
- 807 + 355 - 815 - 775 + 152 - 452 + 165 + 168 - 511 - 440 - 803 - 826 + 256 - 651 - 788 - 455,-6227
- 974 - 443 + 882 + 355 - 249 - 849 - 460 + 687 + 688 + 284 - 710 + 367 - 883 - 259 + 194 - 137,-1507
- 464 - 897 - 138 + 610 - 314 - 256 + 333 + 598 - 128 + 992 - 426 + 836 + 397 - 901 + 482 + 413,1137
267 + 789 + 982 + 992 + 125 + 518 + 436 + 897 - 778 + 297 + 223 - 881 - 405 - 850 + 623 - 771,2464
698 - 722 + 687 - 448 + 442 - 129 + 368 + 210 + 203 - 522 + 123 - 770 + 972 - 897 + 893 - 576,532
429 + 447 - 664 + 850 + 868 + 949 + 992 - 558 + 824 - 841 + 300 - 834 + 313 - 989 - 466 - 572,1048
601 + 847 + 838 + 415 - 478 + 665 + 986 - 743 + 327 - 172 - 983 - 825 + 515 - 244 + 426 + 619,2794
- 128 + 938 + 764 - 390 + 451 - 128 - 293 + 186 - 107 - 731 + 716 + 408 + 790 + 157 - 787 + 190,2036
- 714 - 402 - 708 - 338 - 304 + 628 + 251 - 195 - 125 + 287 - 528 - 660 - 693 - 865 + 915 + 548,-2903
641 - 976 + 214 - 713 - 373 + 588 + 398 + 886 + 180 + 206 + 995 + 424 - 515 + 877 - 374 - 309,2149
- 651 + 146 + 295 + 431 - 760 + 995 - 108 + 191 + 299 + 986 - 149 + 704 - 324 - 988 - 800 + 436,703
482 + 363 - 449 - 450 - 594 + 677 + 804 - 926 + 460 - 539 - 894 + 766 - 587 + 192 - 293 - 248,-1236
- 190 - 995 + 621 - 498 + 994 - 323 - 446 - 536 + 946 + 510 + 549 + 367 + 501 + 903 + 368 + 158,2929
517 + 243 + 241 + 970 + 898 - 684 + 949 - 751 + 429 - 475 - 582 - 272 - 775 + 128 - 400 - 879,-443
- 132 - 461 + 554 - 354 + 984 - 443 + 557 - 744 - 897 + 583 - 216 - 716 + 469 - 685 + 671 + 842,12
- 948 - 825 - 104 - 922 - 207 + 245 - 711 - 439 - 184 - 171 - 967 + 528 - 975 - 502 - 414 + 241,-6355
414 - 700 + 360 + 448 + 323 - 717 - 377 + 185 + 604 - 270 - 319 - 604 + 936 - 637 - 368 + 947,225
492 + 995 - 826 + 384 - 768 + 906 + 154 + 849 + 118 + 666 - 649 + 792 - 495 - 313 + 540 - 743,2102
813 - 380 + 846 + 819 - 840 - 395 + 547 + 615 + 977 - 686 - 539 + 165 + 881 + 928 - 762 + 361,3350
324 + 786 - 158 - 212 + 156 - 710 + 439 + 246 - 563 - 556 + 181 + 669 - 236 - 745 + 721 - 705,-363
790 - 348 + 130 - 280 + 853 + 728 - 314 + 209 - 705 + 136 - 870 + 228 - 905 - 220 - 932 + 988,-512
- 800 + 140 - 938 + 506 - 909 - 572 - 602 - 349 - 996 + 897 - 943 + 203 - 680 - 704 + 857 + 812,-4078
- 781 - 230 + 612 + 473 - 384 + 966 - 553 + 723 + 705 + 419 + 678 + 835 - 506 - 825 - 892 + 374,1614
718 - 804 - 719 + 773 + 176 + 651 - 404 - 592 + 734 + 406 - 110 + 390 + 993 - 359 - 106 + 938,2685
995 - 943 - 480 + 809 + 985 + 550 + 189 - 910 + 581 + 964 - 357 - 417 - 161 + 718 + 374 - 652,2245
157 - 347 + 552 - 929 - 680 - 546 + 898 + 868 + 586 + 325 + 284 + 475 - 985 - 674 - 746 + 228,-534
- 203 - 973 - 615 + 677 - 630 - 795 + 295 + 667 - 435 - 839 - 289 - 419 - 431 - 410 + 777 - 817,-4440
- 722 - 106 + 602 + 373 - 461 + 127 - 925 + 121 + 995 + 128 - 430 - 712 + 832 - 397 - 957 + 567,-965
693 + 522 + 452 + 107 - 990 + 309 - 552 - 964 - 879 + 106 - 408 - 859 - 212 + 683 + 644 + 246,-1102
260 + 206 + 998 - 898 - 230 + 754 + 979 + 528 + 836 + 547 - 101 - 507 + 390 - 722 - 964 + 686,2762
- 118 - 855 + 192 - 514 - 185 + 350 + 638 - 124 + 154 + 491 + 359 + 225 + 883 - 856 + 689 - 774,555
- 935 + 107 - 737 + 864 + 555 + 906 - 489 + 686 + 828 - 162 - 363 - 805 + 796 - 529 + 897 - 909,710
882 - 112 + 407 + 255 + 663 + 331 - 775 + 304 - 867 - 961 + 300 - 853 - 839 - 449 + 737 + 323,-654
- 762 - 723 - 679 - 574 - 896 + 964 - 315 + 158 + 621 - 214 - 907 + 569 - 357 - 899 + 739 + 197,-3078
- 716 + 949 + 702 + 846 - 644 - 994 - 927 + 143 + 458 - 230 - 394 - 851 - 318 + 904 - 544 - 205,-1821
- 272 + 233 - 712 + 914 + 968 - 946 - 639 + 190 + 843 - 870 + 395 - 650 + 114 - 186 - 576 + 651,-543
- 427 + 135 - 221 - 219 - 794 - 312 + 323 - 178 - 261 - 790 + 651 + 832 + 140 + 404 - 275 + 203,-789
542 + 173 - 634 - 949 + 909 - 567 + 521 + 437 + 806 - 558 - 394 + 972 - 536 + 109 - 739 + 532,624
- 329 - 917 - 540 + 354 + 452 + 339 + 872 + 693 + 223 - 354 + 519 + 433 - 642 - 680 + 647 - 142,928
542 - 207 - 923 - 474 + 122 + 257 - 395 - 755 - 660 - 537 - 798 + 672 + 642 - 758 + 250 + 968,-2054
673 - 139 - 132 - 240 + 658 + 221 + 144 + 885 + 465 + 709 - 861 + 633 - 839 + 649 + 823 + 255,3904
- 605 - 694 + 591 + 834 - 191 + 734 - 627 + 632 - 418 - 276 - 993 + 876 + 292 - 511 + 791 - 835,-400
- 117 - 969 + 719 - 128 + 257 + 846 + 612 - 847 - 434 - 511 - 593 - 149 - 380 + 340 - 817 - 126,-2297
- 840 - 362 - 516 + 352 - 492 + 967 + 223 - 771 - 811 + 914 - 605 + 359 + 309 - 934 + 607 - 602,-2202
- 673 - 816 + 136 + 808 - 402 + 567 + 917 - 871 - 380 - 916 - 390 + 656 + 222 - 534 - 110 - 867,-2653
- 138 - 426 + 788 - 871 + 923 + 108 - 579 + 808 + 163 - 327 - 997 - 891 + 331 - 582 + 429 - 111,-1372
- 826 - 572 + 576 + 496 - 402 - 559 - 729 - 996 - 238 + 273 - 709 + 101 - 844 - 489 - 968 - 427,-6313
273 - 519 + 880 - 582 + 275 + 905 - 448 + 273 - 962 + 182 - 120 - 415 - 118 - 238 + 559 - 254,-309
212 + 928 - 712 + 364 - 842 - 737 + 304 - 552 + 221 + 492 - 267 + 604 - 487 + 826 - 329 - 681,-656
345 - 382 - 562 - 153 + 861 + 675 - 873 + 656 + 414 - 201 + 115 - 108 - 311 + 488 + 846 + 291,2101
127 + 172 + 869 + 329 + 422 - 374 - 833 + 502 - 223 + 465 + 952 - 550 + 774 - 449 + 600 - 918,1865
- 724 - 335 + 739 - 240 - 454 - 328 - 453 + 977 + 925 + 389 + 888 + 126 + 509 + 206 - 403 - 332,1490
- 497 + 387 - 657 + 504 - 362 - 549 + 919 - 276 - 930 - 421 + 206 - 532 - 490 + 730 - 824 + 689,-2103
- 883 + 263 + 583 + 831 - 198 + 415 - 871 + 902 - 269 + 834 - 551 - 517 + 863 + 825 + 164 - 143,2248
- 158 - 414 - 983 - 708 + 147 + 374 - 884 - 925 - 294 - 492 + 228 + 527 - 380 + 222 + 852 + 462,-2426
731 + 252 + 401 - 431 - 474 - 884 - 286 - 445 - 621 + 126 - 204 - 421 - 243 - 178 + 456 + 298,-1923
860 - 272 - 137 - 744 + 741 - 871 + 237 + 525 - 769 - 530 - 135 - 778 - 434 - 114 + 551 + 671,-1199
- 153 - 937 - 250 + 570 + 396 + 927 + 777 - 304 - 100 - 180 + 551 + 613 - 205 + 606 - 710 - 777,824
- 984 - 974 + 157 - 794 - 376 + 612 - 271 - 789 + 822 + 229 - 567 - 428 + 280 + 673 - 716 + 497,-2629
373 + 227 - 224 - 419 + 401 + 253 - 395 - 428 + 518 - 539 + 166 + 966 - 228 - 300 + 171 + 623,1165
451 - 760 + 315 - 167 + 938 - 470 - 513 + 897 - 753 + 555 - 449 - 233 - 652 - 319 - 630 - 730,-2520
- 666 + 667 - 300 + 420 + 981 + 161 - 688 + 751 + 218 + 905 - 582 + 882 - 153 - 335 - 909 - 287,1065
- 212 + 214 + 283 - 381 - 878 + 716 - 365 - 639 - 992 + 780 - 342 - 113 - 532 - 431 - 673 - 428,-3993
552 - 803 + 481 + 270 + 807 + 321 - 260 - 502 + 902 + 382 + 301 + 568 - 478 - 937 - 251 + 550,1903
552 + 219 + 183 + 277 - 266 + 881 - 626 - 693 + 102 - 967 + 189 + 628 - 510 + 351 + 918 + 427,1665
- 585 + 547 - 937 + 936 + 511 + 235 - 321 + 778 + 125 - 649 - 194 - 719 - 527 + 437 - 183 - 446,-992
- 211 - 725 + 890 - 699 + 178 - 485 - 126 + 380 + 824 - 668 - 750 - 803 + 273 - 463 - 707 + 316,-2776
- 778 + 722 - 298 - 650 - 946 + 773 - 781 + 526 - 275 + 264 + 572 + 615 + 824 + 296 + 146 - 487,523
- 401 + 172 - 810 - 317 + 193 - 378 - 159 + 781 - 136 - 115 + 430 + 544 - 283 + 169 + 487 + 369,546
- 116 - 499 - 598 + 952 + 112 + 109 - 918 + 397 + 673 + 440 + 316 + 754 + 820 - 381 + 929 + 374,3364
630 + 136 - 812 - 466 - 756 - 521 + 266 + 870 - 972 - 367 + 199 - 767 + 645 - 930 - 630 - 203,-3678
- 468 + 824 + 943 - 269 + 703 + 189 - 455 - 560 + 689 + 437 + 580 - 360 - 598 + 246 - 820 + 236,1317
- 614 - 584 + 396 + 202 + 155 + 555 - 998 - 955 - 962 + 582 - 604 + 729 - 648 - 507 - 505 + 113,-3645
- 602 + 764 - 228 - 852 - 749 - 726 + 220 - 890 - 607 + 157 - 976 - 761 + 741 + 698 + 685 - 622,-3748
- 634 - 375 - 336 + 140 + 995 + 588 + 702 - 606 + 881 + 806 - 349 - 926 - 523 + 230 - 540 - 978,-925
- 782 + 479 + 146 - 215 - 547 - 927 + 560 - 716 - 124 - 647 - 664 + 265 + 737 + 153 - 461 - 942,-3685
- 868 + 587 + 890 - 185 - 729 + 319 + 957 - 775 - 700 + 987 - 139 - 979 - 284 + 175 + 715 - 733,-762
- 587 - 229 - 680 + 127 + 142 - 279 + 845 + 877 - 882 - 226 - 916 + 538 - 935 - 426 - 949 - 988,-4568
- 627 - 536 - 706 + 939 - 268 + 246 - 339 - 673 - 690 - 517 - 617 - 253 + 771 - 802 - 979 - 746,-5797
342 - 539 - 575 + 893 - 976 - 623 - 190 - 121 + 678 - 287 - 720 + 638 + 861 - 190 - 729 - 422,-1960
726 - 517 - 685 + 353 - 411 - 113 - 650 + 647 - 492 + 125 - 983 + 637 - 742 + 500 - 533 + 889,-1249
- 989 + 710 - 359 - 318 + 997 - 958 - 991 - 872 + 838 - 664 + 444 + 909 - 522 + 803 - 980 + 639,-1313
869 + 171 + 163 + 583 + 618 - 894 - 912 + 218 - 484 - 360 + 915 + 425 + 263 + 629 - 601 - 289,1314
- 681 + 501 + 951 + 731 - 558 - 347 + 652 - 609 - 686 - 256 + 915 - 185 - 154 + 980 - 139 - 714,401
948 + 656 + 658 + 797 + 553 - 640 + 573 + 997 - 246 - 227 + 692 + 950 - 527 - 546 + 339 + 458,5435
420 + 163 - 594 + 237 - 866 - 997 + 925 - 229 - 279 + 569 - 668 - 373 - 862 + 505 - 699 - 838,-3586
140 + 574 - 220 + 423 - 520 - 160 - 880 - 167 - 649 + 297 - 521 - 611 + 389 + 950 - 696 - 559,-2210
- 625 - 559 - 723 + 943 + 992 + 488 - 304 + 378 + 616 + 500 - 547 + 579 + 291 - 950 + 395 + 326,1800
635 + 696 + 111 - 202 - 431 + 537 + 355 - 152 - 198 - 353 + 925 - 568 - 501 + 119 - 754 - 787,-568
- 419 - 220 - 170 - 768 - 544 + 315 + 263 - 682 + 184 + 154 - 844 - 296 + 257 - 145 - 352 + 106,-3161
